school_name,boro,language_classes,neighborhood,building_code,location,phone_number,school_email
El Puente Academy for Peace and Justice,K,Spanish,Williamsburg,K778,"250 Hooper Street, Brooklyn NY 11211(40.70554, -73.955741)",718-387-1125,Wvazque3@schools.nyc.gov
"Bronx High School of Science, The",X,"French, Italian, Japanese, Latin, Mandarin, Spanish",Van Cortlandt Village,X445,"75 Bronx Science Boulevard, Bronx NY 10468(40.879958, -73.889011)",718-817-7700,golanc@bxscience.edu
Mott Hall Bronx High School,X,French,Claremont-Bathgate,X970,"1595 Bathgate Avenue, Bronx NY 10457(40.839508, -73.901774)",718-466-6800,info@mhbx.org
High School of Telecommunication Arts and Technology,K,Spanish,Bay Ridge,K485,"350 67th Street, Brooklyn NY 11220(40.636721, -74.023419)",718-759-3400,xshepard@schools.nyc.gov
"Brooklyn School for Math and Research (B-SMARt), The",K,Mandarin,Bushwick,K480,"400 Irving Avenue, Brooklyn NY 11237(40.696457, -73.911751)",718-381-7100,DTorres28@schools.nyc.gov
Chelsea Career and Technical Education High School,M,Spanish,SoHo-Tribeca,M615,"131 Avenue Of The Americas, Manhattan NY 10013(40.72463, -74.005058)",212-925-1080,KMaxwell@chelseahs.org
Bronx High School of Business,X,Spanish,E. Concourse-Concourse Village,X410,"240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",718-410-4060,abajana@schools.nyc.gov
The Urban Assembly Academy of Government and Law,M,Spanish,Chinatown,M445,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",212-505-0745,ewoods@uaagl.org
Brooklyn School for Music & Theatre,K,Spanish,Crown Heights South,K440,"883 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",718-230-6250,prandaz@schools.nyc.gov
W. H. Maxwell Career and Technical Education High School,K,Spanish,East New York,K660,"145 Pennsylvania Avenue, Brooklyn NY 11207(40.673766, -73.895976)",718-345-9100,LValesP@schools.nyc.gov
The Maxine Greene High School for Imaginative Inquiry,M,"Italian, Spanish",Lincoln Square,M490,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",212-799-4064,pmartinez@schools.nyc.gov
The College Academy,M,Spanish,Washington Heights N.,M465,"549 Audubon Avenue, Manhattan NY 10040(40.856532, -73.92606)",212-927-1841,vhurtado@schools.nyc.gov
Middle College High School at LaGuardia Community College,Q,"American Sign Language, French, Italian, Spanish",Hunters Point-Sunnyside,Q520,"45-35 Van Dam Street, Long Island City NY 11101(40.743253, -73.933316)",718-392-3330,jgonzalez10@schools.nyc.gov
Bronx High School for Writing and Communication Arts,X,Spanish,Williamsbridge-Olinville,X425,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",718-944-5660,DAgosto3@schools.nyc.gov
Orchard Collegiate Academy,M,Spanish,Lower East Side,M056,"220 Henry Street, Manhattan NY 10002(40.713362, -73.986051)",212-406-9411,dhamann@orchardcollegiateacademy.org
International School for Liberal Arts,X,Spanish,Van Cortlandt Village,X430,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",718-329-8570,FCruz32@schools.nyc.gov
Juan Morel Campos Secondary School,K,Spanish,Williamsburg,K071,"215 Heyward Street, Brooklyn NY 11206(40.703996, -73.953304)",718-302-7900,14K071@schools.nyc.gov
Business Technology Early College High School (BTECH),Q,Spanish,Bellerose,Q435,"230-17 Hillside Avenue, Queens Village NY 11427(40.733888, -73.739726)",718-217-3613,info@btechnyc.org
Bronx High School for Law and Community Service,X,Spanish,Belmont,X435,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",718-733-5274,nelly.lopez-alvear@bronxlawhs.org
Eleanor Roosevelt High School,M,"French, Spanish",Lenox Hill,M855,"411 East 76th Street, Manhattan NY 10021(40.770288, -73.953276)",212-772-1220,info@erhsnyc.net
Rockaway Park High School for Environmental Sustainability,Q,Spanish,Breezy Point-Rockaway Park,Q410,"100-00 Beach Channel Drive, Rockaway Park NY 11694(40.586012, -73.825317)",718-734-3280,dgieske@schools.nyc.gov
World Academy for Total Community Health High School (WATCH),K,Spanish,East New York,K435,"400 Pennsylvania Avenue, Brooklyn NY 11207(40.666868, -73.895122)",718-688-7980,cjackson14@schools.nyc.gov
Gotham Professional Arts Academy,K,Other Language,Crown Heights North,K040,"561 Grand Avenue, Brooklyn NY 11238 (40.678549, -73.961768)",718-455-0746,AWhite10@schools.nyc.gov
"H.E.R.O. High (Health, Education, and Research Occupations High School)",X,"French, Spanish",Mott Haven-Port Morris,X655,"455 Southern Boulevard, Bronx NY 10455(40.810671, -73.907528)",718-585-8013,nbacci@herohigh.net
Cobble Hill School of American Studies,K,"French, Spanish",DUMBO-Downtown Brooklyn,K804,"347 Baltic Street, Brooklyn NY 11201(40.684869, -73.990884)",718-403-9544,amule@schools.nyc.gov
Murry Bergtraum High School for Business Careers,M,Spanish,Chinatown,M520,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",212-964-9610,02M520@schools.nyc.gov
Validus Preparatory Academy,X,Spanish,Claremont-Bathgate,X970,"1595 Bathgate Avenue, Bronx NY 10457(40.839508, -73.901774)",718-466-4000,CHibber@schools.nyc.gov
"Science Skills Center High School for Science, Technology and the Creative Arts",K,"French, Spanish",DUMBO-Downtown Brooklyn,K805,"49 Flatbush Avenue Extension, Brooklyn NY 11201(40.69733, -73.984528)",718-243-9413,13K419@schools.nyc.gov
Edward R. Murrow High School,K,"French, Italian, Mandarin, Other Language, Russian, Spanish",Midwood,K525,"1600 Avenue L, Brooklyn NY 11230(40.619671, -73.959141)",718-258-9283,RDeInnocentiis@schools.nyc.gov
"Young Women's Leadership School, Astoria (TYWLS)",Q,Spanish,Old Astoria,Q739,"23-15 Newtown Avenue, Astoria NY 11102(40.770769, -73.92383)",718-267-2839,30Q286@schools.nyc.gov
Bronx River High School,X,Spanish,Schuylerville-Throgs Neck,X405,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",718-904-4210,contact@bronxriverhighschool.org
Jacqueline Kennedy Onassis High School,M,Spanish,Midtown,M486,"120 West 46th Street, Manhattan NY 10036(40.757626, -73.98346)",212-391-0041,edemeo@schools.nyc.gov
Eagle Academy for Young Men II,K,Spanish,Ocean Hill,K271,"1137 Herkimer Street, Brooklyn NY 11233(40.678124, -73.915106)",718-495-0863,eagleoceanhill@gmail.com
Boys and Girls High School,K,"American Sign Language, Spanish",Bedford-Stuyvesant,K455,"1700 Fulton Street, Brooklyn NY 11213(40.678478, -73.931604)",718-467-1700,info@boysandgirlshs.org
Queens Collegiate: A College Board School,Q,Spanish,Briarwood-Jamaica Hills,Q470,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",718-658-4016,MrErskine@queenscollegiate.org
Academy for College Preparation and Career Exploration: A College Board School,K,Spanish,Flatbush,K465,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",718-564-2566,awilliams52@schools.nyc.gov
Baccalaureate School for Global Education,Q,"French, Mandarin, Spanish",Queensbridge-LIC,Q798,"34-12 36th Avenue, Astoria NY 11106(40.754975, -73.926977)",718-361-5275,bsgeadmissions@gmail.com
Flushing International High School,Q,English,Murray Hill,Q189,"144-80 Barclay Avenue, Flushing NY 11355(40.759963, -73.818399)",718-463-2348,yortiz-gavilanes@schools.nyc.gov
Bronx Compass High School,X,"French, Spanish",Castle Hill-Clason Point,X450,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",718-828-1206,ChaunitaOrellana@Bronxcompass.org
Urban Assembly New York Harbor School,M,"French, Mandarin, Spanish",Governors Island,M877,"10 South Street, Slip 7, Manhattan NY 10004(40.689493, -74.018941)",212-458-0800,admissions@newyorkharborschool.org
Brooklyn Studio Secondary School,K,"American Sign Language, Italian, Spanish",Bensonhurst West,K721,"8310 21st Avenue, Brooklyn NY 11214(40.60498, -73.995084)",718-266-5032,mortiz79@schools.nyc.gov
Frank Sinatra School of the Arts High School,Q,English,Astoria,Q570,"35-12 35th Avenue, Astoria NY 11106(40.756099, -73.925182)",718-361-9920,cmarchetta@schools.nyc.gov
New World High School,X,Spanish,Williamsbridge-Olinville,X362,"921 East 228th Street, Bronx NY 10466(40.888242, -73.852714)",718-696-3800,MGashi@schools.nyc.gov
International High School at Union Square,M,Spanish,Gramercy,M460,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",212-533-2560,info@ihs-us.org
Knowledge and Power Preparatory Academy International High School (KAPPA),X,"French, Spanish",Belmont,X435,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",718-933-1247,info@kappainternational.org
Civic Leadership Academy,Q,"French, Spanish",Elmhurst,Q744,"45-10 94th Street, Elmhurst NY 11373(40.743228, -73.871505)",718-271-1487,info@CLAnyc.org
Susan E. Wagner High School,R,"French, Italian, Latin, Spanish",Todt Hill-Heartland Village,R460,"1200 Manor Road, Staten Island NY 10314(40.588985, -74.130819)",718-698-4200,sbarone@school.nyc.gov
New Directions Secondary School,X,Spanish,E. Concourse-Concourse Village,X410,"240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",718-410-4343,newstudent@ndssonline.org
PROGRESS High School for Professional Careers,K,"American Sign Language, Spanish",Bushwick,K450,"850 Grand Street, Brooklyn NY 11211(40.711134, -73.938921)",718-387-0228,ecruz19@schools.nyc.gov
John Jay School for Law,K,"French, Spanish",Park Slope-Gowanus,K460,"237 7th Avenue, Brooklyn NY 11215(40.669255, -73.97858)",718-832-4250,admissions@johnjaylawhs.org
High School of American Studies at Lehman College,X,"French, Italian, Spanish",Van Cortlandt Village,X905,"2925 Goulden Avenue, Bronx NY 10468(40.874725, -73.895543)",718-329-2144,atrebofiore@schools.nyc.gov
Academy for Careers in Television and Film (ACTV),Q,"French, Spanish",Hunters Point-Sunnyside,Q404,"1-50 51st Avenue, Long Island City NY 11101(40.742964, -73.959183)",718-609-3330,info@actvf.org
Quest to Learn,M,"French, Spanish",Chelsea-Union Sq,M440,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",212-488-3645,Q2LUpperSchool@Q2L.org
World View High School,X,"French, Japanese, Spanish",Van Cortlandt Village,X440,"100 West Mosholu Parkway South, Bronx NY 10468(40.879958, -73.889011)",718-601-0391,info@worldviewhs.org
"Science, Technology and Research Early College High School at Erasmus (STAR)",K,"French, Spanish",Flatbush,K465,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",718-564-2540,sgoulborne@starec.org
Bronx Studio School for Writers and Artists,X,Spanish,Hunts Point,X392,"928 Simpson Street, Bronx NY 10459(40.820388, -73.892961)",718-893-5158,DVerhille@schools.nyc.gov
Benjamin Franklin High School for Finance & Information Technology,Q,Spanish,Cambria Heights,Q490,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",718-276-0150,info@franklinfit.org
Wings Academy,X,"Mandarin, Spanish",East Tremont,X879,"1122 East 180th Street, Bronx NY 10460(40.841376, -73.875262)",718-597-1751,TWillia13@schools.nyc.gov
Multicultural High School,K,Spanish,Cypress Hills,K420,"999 Jamaica Avenue, Brooklyn NY 11208(40.693002, -73.869305)",718-827-2796,CFranco7@schools.nyc.gov
Bronx Bridges High School,X,Spanish,Castle Hill-Clason Point,X450,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",718-829-2984,vluna3@schools.nyc.gov
Townsend Harris High School,Q,"French, Greek, Japanese, Latin, Spanish",Kew Gardens Hills,Q515,"149-11 Melbourne Avenue, Flushing NY 11367(40.737038, -73.821532)",718-575-5580,admissions@thhs.qc.edu
Independence High School,M,Spanish,Clinton,M834,"850 10th Avenue, Manhattan NY 10019(40.767848, -73.98861)",212-262-8067,RSmolki@schools.nyc.gov
Business of Sports School (BOSS),M,Spanish,Clinton,M625,"439 West 49th Street, Manhattan NY 10019(40.763655, -73.990318)",212-246-2183,solomon@nycBOSS.org
The Global Learning Collaborative,M,"French, Italian, Spanish",Upper West Side,M470,"145 West 84th Street, Manhattan NY 10024(40.786134, -73.974483)",212-877-1103,casillas@theglcnyc.org
The Williamsburg High School of Arts and Technology,K,Spanish,East Williamsburg,K049,"223 Graham Avenue, Brooklyn NY 11206(40.709765, -73.944463)",718-599-1207,wburgarttech@gmail.com
Academy for Software Engineering (AFSE),M,Spanish,Gramercy,M460,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",212-253-3299,info@afsenyc.org
Pathways College Preparatory School: A College Board School,Q,Spanish,Hollis,Q192,"109-89 204th Street, Saint Albans NY 11412(40.705989, -73.752885)",718-454-4957,info@pathwaysprep.org
FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,K,Spanish,East New York,K435,"400 Pennsylvania Avenue, Brooklyn NY 11207(40.666868, -73.895122)",718-688-7930,JAnders@schools.nyc.gov
Brooklyn Generation School,K,French,Canarsie,K515,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",718-968-4200,admissions@brooklyngeneration.org
Comprehensive Model School Project M.S. 327,X,Spanish,West Concourse,X240,"1501 Jerome Avenue, Bronx NY 10452(40.842503, -73.916084)",718-294-8111,aricci2@schools.nyc.gov
Francis Lewis High School,Q,"French, Italian, Japanese, Korean, Latin, Mandarin, Spanish",Auburndale,Q430,"58-20 Utopia Parkway, Fresh Meadows NY 11365(40.740875, -73.795049)",718-281-8200,CMiaoulis@schools.nyc.gov
Williamsburg Preparatory School,K,Spanish,Williamsburg,K650,"257 North 6th Street, Brooklyn NY 11211(40.715561, -73.954815)",718-302-2306,kwitkowski@williamsburgprep.org
Expeditionary Learning School for Community Leaders,K,Spanish,Gravesend,K400,"2630 Benson Avenue, Brooklyn NY 11214(40.593028, -73.986313)",718-333-7700,tmullen@leaders6-12.org
Bronx Engineering and Technology Academy,X,Spanish,Spuyten Duyvil-Kingsbridge,X475,"99 Terrace View Avenue, Bronx NY 10463(40.877379, -73.912686)",718-563-6678,MBrice@schools.nyc.gov
University Heights Secondary School,X,French,Melrose S.-Mott Haven N.,X470,"701 St. Anns Avenue, Bronx NY 10455(40.818041, -73.911633)",718-292-0578,hjoseph4@schools.nyc.gov
Bushwick Leaders High School for Academic Excellence,K,Spanish,Bushwick,K865,"797 Bushwick Avenue, Brooklyn NY 11221(40.695436, -73.927349)",718-919-4212,ygonzalez6@schools.nyc.gov
Manhattan International High School,M,English,Lenox Hill,M480,"317 East 67th Street, Manhattan NY 10065(40.765638, -73.959777)",212-517-6728,GRodriguez2@schools.nyc.gov
Forest Hills High School,Q,"American Sign Language, French, Hebrew, Italian, Japanese, Mandarin, Spanish",Forest Hills,Q440,"67-01 110th Street, Forest Hills NY 11375(40.730017, -73.843972)",718-268-3137,www.foresthillshs.org/apps/contact
Bronx Center for Science and Mathematics,X,Spanish,Claremont-Bathgate,X002,"1363 Fulton Avenue, Bronx NY 10456(40.833884, -73.902794)",718-992-7089,etom2@schools.nyc.gov
Bronx International High School,X,"Arabic, French, Spanish",Morrisania-Melrose,X400,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",718-620-1053,eanguei@schools.nyc.gov
"Metropolitan High School, The",X,Spanish,Longwood,X099,"1180 Rev. J.A. Polite Avenue, Bronx NY 10459(40.827539, -73.896925)",718-991-4634,lkey5@schools.nyc.gov
Queens Gateway to Health Sciences Secondary School,Q,Spanish,Flushing Heights-Hillcrest,Q695,"160-20 Goethals Avenue, Jamaica NY 11432(40.718027, -73.805923)",718-969-3155,JHenry2@schools.nyc.gov
Veritas Academy,Q,Spanish,Flushing,Q460,"35-01 Union Street, Flushing NY 11354(40.764892, -73.826811)",718-888-7520,cquatrano@schools.nyc.gov
High School of Sports Management,K,Spanish,Gravesend,K400,"2630 Benson Avenue, Brooklyn NY 11214(40.593028, -73.986313)",718-333-7650,dcradle@schools.nyc.gov
Fort Hamilton High School,K,"Arabic, French, Greek, Italian, Mandarin, Spanish",Bay Ridge,K490,"8301 Shore Road, Brooklyn NY 11209(40.626827, -74.038103)",718-748-1537,FortHamiltonHS@fthamiltonhs.org
Eagle Academy for Young Men of Harlem,M,Spanish,Central Harlem North,M136,"6 Edgecombe Avenue, Manhattan NY 10030(40.817228, -73.947151)",212-694-6051,CGraham11@schools.nyc.gov
Baruch College Campus High School,M,Spanish,Chelsea-Union Sq,M874,"55 East 25th Street, Manhattan NY 10010(40.741888, -73.985723)",212-683-7440,bcchs@bcchsnyc.net
Bronx Leadership Academy II High School,X,"French, Spanish",E. Concourse-Concourse Village,X790,"730 Concourse Village West, Bronx NY 10451(40.821828, -73.922366)",718-292-7171,rlobian@schools.nyc.gov
High School for Public Service: Heroes of Tomorrow,K,Spanish,Prospect Lefferts Gardens,K470,"600 Kingston Avenue, Brooklyn NY 11203(40.658671, -73.943839)",718-756-5325,dmiller24@schools.nyc.gov
The Academy of Urban Planning and Engineering,K,Spanish,Bushwick,K480,"400 Irving Avenue, Brooklyn NY 11237(40.696457, -73.911751)",718-381-7100,jsandoval2@schools.nyc.gov
The Eagle Academy for Young Men of Staten Island,R,,Stapleton-Rosebank,R049,"104 Gordon Street, Staten Island NY 10304(40.620443, -74.080695)",718-727-6201,JCameron@schools.nyc.gov
Claremont International High School,X,Spanish,E. Concourse-Concourse Village,X410,"240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",718-410-4001,Edemchak@schools.nyc.gov
City College Academy of the Arts,M,"Arabic, French, Greek, Hebrew, Portuguese, Spanish",Washington Heights N.,M218,"4600 Broadway, Manhattan NY 10040(40.860951, -73.930082)",212-567-3164,BDrysdale@schools.nyc.gov
Staten Island Technical High School,R,Russian,New Dorp,R440,"485 Clawson Street, Staten Island NY 10306(40.568299, -74.117086)",718-667-3222,BMalenfant@schools.nyc.gov
Bronxdale High School,X,Spanish,Bronxdale,X415,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",718-944-3655,info@bronxdalehs.org
Art and Design High School,M,"French, Spanish",E. Midtown,M488,"231-249 East 56th Street, Manhattan NY 10019(40.759248, -73.967204)",212-752-4340,jbrinegar@schools.nyc.gov
Millennium Art Academy,X,Spanish,Castle Hill-Clason Point,X450,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",718-824-0978,HGuy@schools.nyc.gov
Union Square Academy for Health Sciences,M,Spanish,Gramercy,M460,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",212-253-3110,BAscona@unionsquareacademy.org
Maspeth High School,Q,"Latin, Mandarin",Maspeth,Q585,"54-40 74th Street, Elmhurst NY 11373(40.729104, -73.887909)",718-803-7100,info@maspethhighschool.org
Central Park East High School,M,Spanish,East Harlem South,M013,"1573 Madison Avenue, Manhattan NY 10029(40.793649, -73.948488)",212-860-5929,slisbon@schools.nyc.gov
The Urban Assembly School for Applied Math and Science,X,"French, Spanish",Claremont-Bathgate,X970,"1595 Bathgate Avenue, Bronx NY 10457(40.839508, -73.901774)",718-466-7800,YRamirez@amsbronx.org
New Dorp High School,R,"Italian, Spanish",New Dorp,R435,"465 New Dorp Lane, Staten Island NY 10306(40.570909, -74.105878)",718-667-8686,cgannon@schools.nyc.gov
High School of World Cultures,X,"Arabic, French, Spanish",West Farms-Bronx River,X420,"1300 Boynton Avenue, Bronx NY 10472(40.832508, -73.878191)",718-860-8120,sschechter2@schools.nyc.gov
World Journalism Preparatory: A College Board School,Q,Spanish,Auburndale,Q025,"34-65 192nd Street, Flushing NY 11358(40.764884, -73.789365)",718-461-2219,JWerner2@schools.nyc.gov
John Bowne High School,Q,"Italian, Latin, Mandarin, Spanish",Kew Gardens Hills,Q425,"63-25 Main Street, Flushing NY 11367(40.737448, -73.823841)",718-263-1919,ICastillo@schools.nyc.gov
Hillcrest High School,Q,"French, Spanish",Briarwood-Jamaica Hills,Q505,"160-05 Highland Avenue, Jamaica NY 11432(40.709461, -73.803001)",718-658-5407,dmorris4@schools.nyc.gov
The Michael J. Petrides School,R,"Italian, Spanish",Todt Hill-Heartland Village,R880,"715 Ocean Terrace, Staten Island NY 10301(40.607637, -74.105883)",718-815-0186,ATabbit@schools.nyc.gov
Fordham High School for the Arts,X,Spanish,Belmont,X435,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",718-733-4656,IBlige@schools.nyc.gov
High School for Civil Rights,K,Spanish,East New York,K435,"400 Pennsylvania Avenue, Brooklyn NY 11207(40.666868, -73.895122)",718-922-6289,msteele2@schools.nyc.gov
The Urban Assembly School for Global Commerce,M,"Mandarin, Spanish",Central Harlem North,M501,"2005 Madison Avenue, Manhattan NY 10035(40.807019, -73.938714)",212-831-5201,info@uaglobalcommerce.org
Bronx Early College Academy for Teaching & Learning,X,Spanish,E. Concourse-Concourse Village,X166,"250 East 164th Street, Bronx NY 10456(40.828009, -73.917705)",718-681-8287,awashington2@schools.nyc.gov
Secondary School for Journalism,K,French,Park Slope-Gowanus,K460,"237 7th Avenue, Brooklyn NY 11215(40.669255, -73.97858)",718-832-4201,ssjcyberarts@gmail.com
"Queens High School of Teaching, Liberal Arts and the Sciences",Q,Spanish,Bellerose,Q566,"74-20 Commonwealth Boulevard, Bellerose NY 11426(40.744197, -73.728834)",718-736-7100,ecorrado@schools.nyc.gov
Harry S Truman High School,X,"American Sign Language, French, Italian, Spanish",Co-op City,X455,"750 Baychester Avenue, Bronx NY 10475(40.874035, -73.831669)",718-904-5400,KAlfano@schools.nyc.gov
Women's Academy of Excellence,X,Spanish,Castle Hill-Clason Point,X174,"456 White Plains Road, Bronx NY 10473(40.815043, -73.85607)",718-542-0740,sburns@schools.nyc.gov
"Metropolitan Soundview High School, The",X,"Italian, Spanish",West Farms-Bronx River,X420,"1300 Boynton Avenue, Bronx NY 10472(40.832508, -73.878191)",718-860-8240,efrias@schools.nyc.gov
Leon M. Goldstein High School for the Sciences,K,"Arabic, Italian, Mandarin, Spanish",Manhattan Beach,K535,"1830 Shore Boulevard, Brooklyn NY 11235(40.578356, -73.934449)",718-368-8500,SHughes8@schools.nyc.gov
Cambria Heights Academy,Q,"Mandarin, Spanish",Jamaica,Q799,"188-04 91st Avenue, Hollis NY 11423(40.711857, -73.771196)",718-736-7320,Ms.Malary@nycacademy.org
Columbia Secondary School,M,"American Sign Language, Arabic, French, Japanese, Latin, Portuguese, Russian, Spanish",Morningside Heights,M125,"425 West 123rd Street, Manhattan NY 10027(40.810793, -73.955722)",212-666-1278,roxanabosch@columbiasecondary.org
Brooklyn Collaborative Studies,K,"American Sign Language, French, Other Language, Spanish",Carroll Gardens-Red Hook,K142,"610 Henry Street, Brooklyn NY 11231(40.679462, -74.002022)",718-923-4700,scill@bcs448.org
Rockaway Collegiate High School,Q,Spanish,Breezy Point-Rockaway Park,Q410,"100-00 Beach Channel Drive, Rockaway Park NY 11694(40.586012, -73.825317)",718-734-3290,ncrocker@schools.nyc.gov
Discovery High School,X,Spanish,Van Cortlandt Village,X430,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",718-733-3872,ksanchez@schools.nyc.gov
"Brooklyn School for Social Justice, The",K,Spanish,Bushwick,K480,"400 Irving Avenue, Brooklyn NY 11237(40.696457, -73.911751)",718-381-7100,AUribeOrtiz@shools.nyc.gov
George Washington Carver High School for the Sciences,Q,Spanish,Springfield Gardens North,Q420,"143-10 Springfield Boulevard, Springfield Gardens NY 11413(40.66903, -73.757744)",718-525-6439,jsutton2@schools.nyc.gov
Brooklyn Lab School,K,Spanish,Cypress Hills,K420,"999 Jamaica Avenue, Brooklyn NY 11208(40.693002, -73.869305)",718-235-3592,Ghenry3Schools.nyc.gov
"High School for Construction Trades, Engineering and Architecture",Q,Spanish,Richmond Hill,Q650,"94-06 104th Street, Ozone Park NY 11416(40.689177, -73.841475)",718-846-6280,Dcoragg@schools.nyc.gov
"High School for Mathematics, Science and Engineering at City College (HSMSE)",M,"German, Spanish",Manhattanville,M812,"240 Convent Avenue, Manhattan NY 10031(40.820208, -73.950354)",212-281-6490,info@hsmse.org
